Nome;Preço;Quantidade;Descrição;Categoria
Dobradiça de Porta 3 Polegadas;6;80;Dobradiça de aço para portas internas.;Ferragens e Ferramentas
Chave de Teste para Eletricidade;7;100;Chave de teste para verificação de corrente elétrica.;Elétrica e Iluminação
Telha Cerâmica Portuguesa;3;200;Telha cerâmica tradicional para cobertura de telhados.;Materiais de Construção
Arame Galvanizado 1mm;15;150;Rolo de arame galvanizado para uso geral.;Ferragens e Ferramentas
Disjuntor Unipolar 20A;20;50;Disjuntor unipolar para proteção elétrica residencial.;Elétrica e Iluminação
Rejunte Acrílico Branco;12;80;Rejunte acrílico de alta aderência para porcelanatos.;Pintura e Acabamento
Maçaneta para Porta Externa;25;60;Maçaneta cromada para portas externas.;Ferragens e Ferramentas
Cano PVC Soldável 50mm;10;100;Cano PVC para instalações hidráulicas.;Hidráulica
Tinta Spray Preto Fosco;15;120;Tinta spray de secagem rápida e acabamento fosco.;Pintura e Acabamento
Serra Tico-Tico Elétrica;120;40;Serra tico-tico com lâmina ajustável para cortes precisos.;Ferragens e Ferramentas
Caixa d'Água 500L;200;30;Caixa d'água de polietileno com capacidade para 500 litros.;Hidráulica
Luminária de Mesa LED;40;80;Luminária de mesa com braço flexível e luz LED.;Elétrica e Iluminação
Silicone para Vedação;7;100;Silicone de alta resistência para vedação e selagem.;Material de Isolamento e Impermeabilização
Tinta Látex Premium;30;100;Tinta látex de qualidade premium para paredes internas.;Pintura e Acabamento
Broca para Metal 5mm;6;70;Broca de aço rápido para perfuração em metal.;Ferragens e Ferramentas
Luminária de Parede Externa;60;50;Luminária de parede externa com sensor de movimento.;Elétrica e Iluminação
Ralo Linear Inox para Box de Banheiro;80;40;Ralo linear em aço inoxidável para box de banheiro.;Banheiro e Cozinha
Tinta Esmalte Sintético Preto Fosco;25;80;Tinta esmalte sintético de acabamento fosco.;Pintura e Acabamento
Bucha para Fixação 8mm;2;200;Bucha plástica para fixação em parede de alvenaria.;Ferragens e Ferramentas
Fita Isolante Alta Tensão;10;50;Fita isolante de alta tensão para aplicações elétricas especiais.;Elétrica e Iluminação
Tinta Impermeabilizante Transparente;45;60;Tinta impermeabilizante transparente para proteção de superfícies.;Material de Isolamento e Impermeabilização
Parafuso Auto-Atarraxante 6x25mm;0,8;300;Parafuso auto-atarraxante com cabeça chata.;Ferragens e Ferramentas
Lâmpada Halógena 50W;5;100;Lâmpada halógena de 50W para iluminação direcionada.;Elétrica e Iluminação
Caixa de Luz para Embutir;10;80;Caixa de luz para embutir em paredes de alvenaria.;Elétrica e Iluminação
Resina Epóxi Transparente;50;60;Resina epóxi transparente para revestimentos de pisos.;Pintura e Acabamento
"Serrote para Madeira 20""";20;50;Serrote com lâmina de aço temperado para cortes precisos.;Ferragens e Ferramentas
Cano PVC Soldável 25mm;5;200;Cano PVC soldável para instalações hidráulicas.;Hidráulica
Tinta Spray Branco Brilhante;12;100;Tinta spray de secagem rápida e acabamento brilhante.;Pintura e Acabamento
Pia de Cozinha Inox 1 Cuba;250;30;Pia de cozinha em aço inoxidável com uma cuba.;Banheiro e Cozinha
Fita Veda Rosca para Tubos de Metal;5;100;Fita veda rosca para vedação em conexões de tubos de metal.;Hidráulica
Piso Porcelanato 60x60cm;45;80;Piso porcelanato de alta qualidade para áreas internas.;Pisos e Revestimentos
Maçarico para Solda;80;40;Maçarico portátil para soldagem e brasagem.;Ferragens e Ferramentas
Fio Elétrico 2.5mm²;100;150;Rolo de fio elétrico de 2,5mm² para instalações residenciais.;Elétrica e Iluminação
Ralo Sifonado para Box de Banheiro;30;100;Ralo sifonado em plástico para box de banheiro.;Banheiro e Cozinha
Tinta Antiferrugem Preta;20;80;Tinta antiferrugem preta para proteção de metais.;Ferragens e Ferramentas
Serra Mármore 110mm;70;50;Serra mármore com disco diamantado para cortes precisos.;Ferragens e Ferramentas
Conexão Tê PVC 25mm;3;150;Conexão Tê em PVC para redes hidráulicas.;Hidráulica
Tinta Esmalte Sintético Cinza Metálico;30;80;Tinta esmalte sintético de acabamento metálico.;Pintura e Acabamento
opa;;;;d
